Rxns,L-arabinose,L-arabinose.1,L-arabinose.2,D-fructose,D-fructose.1,D-fructose.2,D-galactose,D-galactose.1,D-galactose.2,D-galacturonic acid,D-galacturonic acid.1,D-galacturonic acid.2,D-glucose,D-glucose.1,D-glucose.2,D-glucuronic acid,D-glucuronic acid.1,D-glucuronic acid.2,D-mannose,D-mannose.1,D-mannose.2,L-rhamnose,L-rhamnose.1,L-rhamnose.2,D-xylose,D-xylose.1,D-xylose.2,Kruskal-Wallis p-value
EX_pala_e,0.0002169127160653,0.0002169127160653,0.0002169127160653,0.000544087010526,0.000544087010526,0.0005440856330363,0.0005440802259817,0.0005440859947992,0.0005440859947992,0.0001997437409003,0.0001997340051531,0.0001997343616687,0.0003440796747345,0.0003440796747345,0.0003440796747345,0.0002861070670807,0.0002861093142085,0.0002861070670807,0.0005440917618651,0.0005440802242302,0.0005440802242341,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0014757000262690975
EX_pap_e,0.0002847511047172,0.0002847511047172,0.0002847511047172,0.000451698536367,0.000451698536367,0.0004516967280742,0.0004516896299897,0.0004516972029767,0.0004516972029767,0.0002622126167309,0.0002621998361765,0.0002622003041906,0.0004516889063427,0.0004516889063427,0.0004516889063427,0.0003755856498246,0.0003755885997306,0.0003755856498246,0.0004517047736641,0.0004516896276904,0.0004516896276956,0.0005217269552325,0.0005217269552324,0.0005217269552324,0.0002169360683917,0.0002169200226187,0.0002169247621477,0.001502884894402016
EX_pc_SC_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004223454833886,0.0004223454833884,0.0004223454833884,0.0002847817603691,0.0002847606963593,0.0002847669181527,0.001094597241280264
EX_phe__L_e,9.78233817547682e-05,9.78233817547682e-05,9.78233817547682e-05,0.0001551764949429,0.0001551764949429,0.0001551758737215,0.0001551734352462,0.0001551760368702,0.0001551760368702,9.00805106021338e-05,9.00761199710506e-05,9.00762807523689e-05,0.000155173186645,0.000155173186645,0.000155173186645,0.0001290286773108,0.0001290296907215,0.0001290286773108,0.0001551786377036,0.0001551734344565,0.0001551734344579,0.0,0.0,0.0,0.0,0.0,0.0,0.0014757000262690975
EX_pheac_e,9.78233817547682e-05,9.78233817547682e-05,9.78233817547682e-05,0.0001551764949429,0.0001551764949429,0.0001551758737215,0.0001551734352462,0.0001551760368702,0.0001551760368702,9.00805106021338e-05,9.00761199710506e-05,9.00762807523689e-05,0.000155173186645,0.000155173186645,0.000155173186645,0.0001290286773108,0.0001290296907215,0.0001290286773108,0.0001551786377036,0.0001551734344565,0.0001551734344579,0.000145092548438,0.000145092548438,0.000145092548438,9.78339131963666e-05,9.78266768670833e-05,9.78288143017811e-05,0.0014893991462245789
EX_pi_e_b,0.0001603953052574,0.0001603953052574,0.0001603953052574,0.000195804618617,0.000195804618617,0.0001958042350807,0.000195802729587,0.0001958043358068,0.0001958043358068,0.0001556149239369,0.0001556122131995,0.0001556123124646,9.58025761025634e-05,9.58025761025634e-05,9.58025761025634e-05,7.96611833832688e-05,7.96618090541494e-05,7.96611833832688e-05,0.0001958059415389,0.0001958027290994,0.0001958027291004,0.000145092548438,0.000145092548438,0.000145092548438,9.78339131963666e-05,9.78266768670833e-05,9.78288143017811e-05,0.0014893991462245789
EX_pi_e_f,0.0001409932654424,0.0001409932654424,0.0001409932654424,0.0002236565568419,0.0002236565568419,0.0002236556614736,0.0002236521468881,0.0002236558966195,0.0002236558966195,0.0001298334315852,0.0001298271033495,0.0001298273350846,0.0002236517885774,0.0002236517885774,0.0002236517885774,0.0001859695936024,0.0001859710542355,0.0001859695936024,0.0002236596452123,0.0002236521457496,0.0002236521457521,0.0002895788777314,0.0002895788777313,0.0002895788777313,0.0002604018072777,0.0002603973396311,0.0002603986592646,0.001502884894402007
EX_pnto__R_e,9.78233817547682e-05,9.78233817547682e-05,9.78233817547682e-05,0.0001551764949429,0.0001551764949429,0.0001551758737215,0.0001551734352462,0.0001551760368702,0.0001551760368702,9.00805106021338e-05,9.00761199710506e-05,9.00762807523689e-05,0.000155173186645,0.000155173186645,0.000155173186645,0.0001290286773108,0.0001290296907215,0.0001290286773108,0.0001551786377036,0.0001551734344565,0.0001551734344579,0.0002091225209011,0.000209122520901,0.000209122520901,0.0001410084444546,0.0001409980147021,0.000141001095396,0.001502884894402016
EX_pro__L_e,0.0001409932654424,0.0001409932654424,0.0001409932654424,0.0002236565568419,0.0002236565568419,0.0002236556614736,0.0002236521468881,0.0002236558966195,0.0002236558966195,0.0001298334315852,0.0001298271033495,0.0001298273350846,0.0002236517885774,0.0002236517885774,0.0002236517885774,0.0001859695936024,0.0001859710542355,0.0001859695936024,0.0002236596452123,0.0002236521457496,0.0002236521457521,0.000145092548438,0.000145092548438,0.000145092548438,9.78339131963666e-05,9.78266768670833e-05,9.78288143017811e-05,0.0014893991462245789
EX_ptd1ino_SC_e,9.78233817547682e-05,9.78233817547682e-05,9.78233817547682e-05,0.0001551764949429,0.0001551764949429,0.0001551758737215,0.0001551734352462,0.0001551760368702,0.0001551760368702,9.00805106021338e-05,9.00761199710506e-05,9.00762807523689e-05,0.000155173186645,0.000155173186645,0.000155173186645,0.0001290286773108,0.0001290296907215,0.0001290286773108,0.0001551786377036,0.0001551734344565,0.0001551734344579,0.0002091225209011,0.000209122520901,0.000209122520901,0.0001410084444546,0.0001409980147021,0.000141001095396,0.001502884894402016
