Rxns,L-arabinose,D-fructose,D-galactose,D-galacturonic acid,D-glucose,D-glucuronic acid,D-mannose,L-rhamnose,D-xylose,averageFlux,log2FC_L-arabinose,log2FC_D-fructose,log2FC_D-galactose,log2FC_D-galacturonic acid,log2FC_D-glucose,log2FC_D-glucuronic acid,log2FC_D-mannose,log2FC_L-rhamnose,log2FC_D-xylose
PGK_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66666655948353e-05,7.40740728831503e-06,,,,,,,,,3.169925001442313
PGL,0.0,0.0,5.35733466263776e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.95259406959751e-06,,,3.1699250014423126,,,,,,
PGP1819Z160t,0.0,0.0,0.0,0.0,0.0,0.0,0.0001806892308925,0.0,0.0002104362360023,4.34583852105418e-05,,,,,,,2.055804049705086,,2.2756766762448497
PGPPAm_SC,0.0008074682185296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97186909477401e-05,3.169925001442204,,,,,,,,
PGPS18111Z160,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,7.77777777777778e-05,0.3625700793847081,0.3625700793847081,0.3625700793847081,0.3625700793847081,,0.3625700793847081,0.3625700793847081,,0.3625700793847081
PGPS1819Z160,9.99287110579637e-05,0.0002585159514562,0.0002585148091834,0.0001920162645159,0.000158512783488,0.000131805943918,0.000258514808377,0.0001,0.0001999352689212,0.0001841938378797,-0.8822536463389431,0.4890285057380357,0.48902213106391834,0.06000372040309698,-0.21662560429417985,-0.4828093659788036,0.4890221265636372,-0.8812247975361813,0.11830819085244688
PHCDm,9.99287110579637e-05,0.0002585159514562,0.0002585148091834,0.0001920162645159,0.000158512783488,0.000131805943918,0.000258514808377,0.0002482151924154,0.0001999352689212,0.0002006621925925,-1.0057976683062604,0.365484483770718,0.36547810909660094,-0.06354030156422036,-0.34016962626149727,-0.6063533879461211,0.3654781045963197,0.3068226011685533,-0.005235831114870661
PHCHGSm_b,0.0001382787145997,0.0001,0.0001071473719371,0.0001234987119158,0.0001607199426002,0.0001,0.0001607207182546,0.0002482151924154,0.0001387774489303,0.0001419286778503,-0.03758702930191602,-0.5051661271871422,-0.4055696625185579,-0.20067013252195542,0.17938282675017445,-0.5051661271871422,0.17938978935878377,0.80642529348491,-0.03239297540686062
PHCHGSm_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000156775345041,0.0,1.74194827823359e-05,,,,,,,,3.1699250014421,
PHOMSELCYSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0001806892308925,0.0,0.0002104362360023,4.34583852105418e-05,,,,,,,2.055804049705086,,2.2756766762448497
PI35BP5P_SC,0.0047877201342519,0.0060141488388727,0.0056974295557429,0.0034429089734318,0.0048532872956859,0.0046659185057584,0.0061334559893207,0.0,0.0031768411441958,0.0043079678263622,0.15233134684274532,0.4813530970475852,0.40330370651079206,-0.32337943708678396,0.1719547892565136,0.1151536343491735,0.5096927362537547,,-0.4394145244349883
PI3P5K_SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063536937312369,0.0,0.0007059659701374,,,,,,,,3.1699250014423805,
PI45BP5P_SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0001806892308925,0.0,0.0002104362360023,4.34583852105418e-05,,,,,,,2.055804049705086,,2.2756766762448497
PIN4Kn_SC,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,8.88888888888889e-05,0.16992500144231207,0.16992500144231207,0.16992500144231207,0.16992500144231207,0.16992500144231207,0.16992500144231207,0.16992500144231207,,0.16992500144231207
PINOS_SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,1.11111111111111e-05,,,,,,,,3.169925001442314,
PLBP1I_SCe,0.130434120837928,0.0519665098653157,0.0651968305609072,0.0738435735265027,0.0,0.0233023304260246,0.0588970679962424,0.0,0.13070416532845,0.0593716220601523,1.135475886057285,-0.19219135965327505,0.1350283031209701,0.3146988425562282,,-1.3492992851935386,-0.011577712894483037,,1.1384596843496617
PLBPC_SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654712817882337,0.0,0.0072745868653593,,,,,,,,3.169925001442312,
PLD_SC,0.351719191906883,0.394367896044489,0.394206817552522,0.444998161925562,0.401084156330369,0.420844726281396,0.39420681705127,0.0,0.352214626464041,0.35040471039517,0.005401890371954578,0.17051994348139837,0.1699305582506022,0.3447772081822893,0.19488280895649465,0.2642658698234072,0.16993055641614926,,0.00743265257732511
PLPSA21801819Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398365041250435,0.0,0.0442627823611594,,,,,,,,3.169925001442314,
PLPSA21801829Z12Z,0.243214456731222,0.364884860520612,0.364895355900903,0.42556708147771,0.374386747985284,0.397665310441067,0.36486202217865,0.0,0.24488543196232,0.308929029688641,-0.3450464601474212,0.2401658474895892,0.2402073439093563,0.4621111139635532,0.277253923688317,0.36427927128962373,0.2400755455959256,,-0.3351684939647411
PLPSA21801835Z9Z12Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367153832258146,0.0,0.0407948702509052,,,,,,,,3.169925001442309,
PLPSD1801835Z9Z12Z,0.0,0.0001201347439898,9.98941033725968e-05,5.66900380912671e-05,9.98936507273191e-05,7.17047317847144e-06,3.32274432354837e-05,0.0,5.78698375804318e-05,5.27801342851903e-05,,1.186586524726735,0.9204044987703034,0.10310021730828374,0.9203979615418295,-2.8798547908125514,-0.6676197355222565,,0.13281657376655326
